,Modelflow,Obsflow,Error
7,4.228124905494035,7.277429679,-5.789407883540733
8,4.032499909866611,6.880993820999999,-2.9596214836475743
10,3.6524999183602596,17.613078834,-5.335750868219491
11,3.308749926043679,10.363966002,-3.3103429372162037
12,3.4631249225931215,7.787132925,0.0016219861672914782
13,3.276874926756148,7.2207959850000005,-2.410053491671728
14,3.1774999289773316,6.880993820999999,-3.5312365168045483
15,4.087499908637259,6.767726433000001,-5.199512002417814
16,7.2543748378520885,6.569508504000001,-5.70741912674908
17,4.976874888758175,52.10299848,-5.299781607175411
19,4.5993748971959505,22.37030913,-5.124717097834978
20,6.864374846569249,12.657630609,-5.805890268454445
21,10.547499764245009,10.222381767,-6.015358318064088
22,7.865624824189574,9.146341581,-6.114527686601517
23,6.61874985205941,13.167333855000003,-6.093982891028683
24,4.753124893759378,37.94457498,-6.52546591483569
26,4.179999906569731,9.401193204,-6.348751051165028
27,4.639999896287916,7.419013913999999,-6.204218096934367
28,5.2674998822621975,6.852676974,-5.77662821667565
29,4.837499891873453,6.342973727999999,-6.5077775017575545
30,4.0687499090563595,6.088122105,-6.4860266780202975
31,3.832499914336948,5.833270482,-6.580837418454734
33,3.7206249168375383,8.041984548,-6.5337811616535255
34,3.743749916320678,6.739409586,-6.23682317415139
35,3.2568749272031727,6.059805258,-5.467482997196218
36,3.3968749240739324,5.550102012,-6.710369074991125
37,3.4562499227467987,5.521785165,-6.668348514736099
38,3.6193749191006543,5.776636788,-6.743058785763531
39,4.101874908315942,6.427924268999999,-6.935727074626696
40,3.276874926756148,15.432681615,-7.069257666655632
41,3.3012499262113186,7.588914996,-6.1245144461384555
44,3.194374928600164,28.316846999999996,-4.275250102306917
45,3.2237499279435675,9.089707887,1.4651477428843522
46,3.2474999274127225,6.852676974,-6.8452114871287195
47,3.582499919924891,6.484557963,-6.067915755966159
48,4.450624900520778,6.314656881000001,-5.427112791271444
49,3.048124931869097,6.286340034,-5.670286154318279
50,3.0956249308073853,6.088122105,-3.969617175376478
51,3.0112499326933113,5.776636788,-0.9493418006716405
