,Modelflow,Obsflow,Error
8,1.3849999690428152,1.636713756599971,2.2057742508071394
9,1.3243749703978864,6.173072645999889,2.0484257445306464
11,1.3649999694898456,3.7661406509999327,2.301213820872141
12,1.1656249739462294,2.5740013922999543,1.8837291442877753
13,1.2481249721022079,2.1605754260999612,2.06418779914677
14,1.2974999709985968,1.851921793799967,1.831690914652301
15,2.2281249501974907,1.7669712527999686,1.8070930950919353
17,1.745624960982209,35.11289027999938,2.0763717666281454
18,2.127499952446632,9.910896449999822,1.972496110673233
20,1.901874957489746,4.643962907999917,2.0081209320313835
21,3.624374918988845,4.134259661999926,1.611963059387642
22,2.2962499486747685,2.916635240999948,1.5505259606841992
23,1.7112499617505497,8.523370946999849,1.4032173687863434
24,1.9206249570706557,14.328324581999746,1.6027409408178042
25,1.6549999630078407,5.380200929999904,1.4594152273804302
27,1.6281249636085409,2.545684545299954,1.52566272204959
28,1.789999959990348,2.2681794446999595,1.374622591067209
29,1.9349999567493457,2.0558030921999637,2.1219440624410644
30,1.8099999595433178,1.9142188571999659,1.4328717276092537
31,1.6668749627424104,1.8547534784999669,1.5110740594317236
32,1.8531249585793967,1.843426739699967,2.397573935020341
34,1.4443749677156743,2.24552596709996,1.7883106099624753
35,1.397499968763415,1.956694127699965,1.364134891998429
36,1.296249971026527,1.8236049467999675,2.588210703201272
37,1.4368749678833141,1.9368723347999655,1.3317163028863577
38,1.3343749701743661,2.0727932003999627,1.248341777136848
39,1.3487499698530658,5.4368346239999035,2.1272024945201085
40,1.3799999691545755,7.220795984999871,1.3889239607938515
41,1.2774999714456272,2.6532885638999524,1.2720001120675108
42,1.993749955436174,2.169070480199961,1.14561856124822
45,1.3162499705794966,3.8794080389999306,2.6101782172216534
46,1.3699999693780855,2.743902474299951,1.6974926170522435
47,2.5093749439110553,2.3418032468999583,2.572697054690629
48,1.7981249598087379,2.1577437413999614,2.6167167285365656
49,1.6056249641114513,2.1634071107999615,2.5774534784795815
50,1.2706249715992972,1.9623574970999649,2.5718004796176084
51,3.611874919268235,1.8745752713999666,2.577738257138969
52,1.2487499720882376,1.8264366314999674,2.0339573460023095
53,1.1924999733455286,1.7754663068999683,1.8247526404753298
54,2.0012499552685443,1.7896247303999682,2.5723866308665055
55,1.2868749712360772,1.7075058740999696,2.597253221810231
56,1.2081249729962784,1.6905157658999699,2.598042522991546
57,1.1287499747704497,1.9425357041999654,2.6333852475376016
58,3.6599999181925646,1.7726346221999685,2.672703307848629
59,3.966874911333359,1.6508721800999704,2.664509426292335
60,3.9956249106907484,1.5630899543999721,2.069485118011557
61,1.514999966137083,1.5319414226999728,2.455345618936568
62,3.1056249305838146,2.058634776899963,2.49257368212935
63,4.112499908078386,10.10911437899982,2.2937460494703292
64,3.4062499238643196,5.4368346239999035,2.6345627461145265
65,3.1824999288655227,2.6731103567999526,2.6102683943368685
67,3.414999923668739,3.2564374049999416,2.466487521129297
68,1.8843749578809061,3.0582194759999455,1.9373883829961946
69,1.6474999631754808,4.332477590999923,1.77631378513749
70,3.0899999309330646,9.174658427999837,1.7945697063125854
71,3.7824999154544727,19.283772806999654,1.862335629395747
72,3.7962499151471323,30.015857819999468,2.4516761813784136
73,4.694374895072457,13.223967548999763,2.5977916026542283
74,6.536874853889343,6.880993820999877,2.152902637125477
75,6.389374857186225,11.2701051059998,1.9167800627068146
76,1.9268749569309556,4.360794437999922,1.3335364391207813
77,2.633749941131053,3.2847542519999418,1.2860105851706294
78,2.741874938714271,3.199803710999943,0.9685619553915308
79,2.2781249490798996,3.482972180999938,1.0342590428077403
80,5.766874871100197,2.973268934999947,0.9547816183092119
81,3.9974999106488385,2.5230310676999546,0.986395862752811
82,1.964374956092765,8.749905722999843,0.8861524337248682
83,2.6624999404884426,8.070301394999856,0.851738969265712
84,1.7693749604513582,3.313071098999941,0.8265735618681772
85,1.5912499644327613,2.7269123660999512,1.2795438132707955
86,1.6131249639438214,2.4465755807999563,1.5425941458930328
87,1.68812496226744,2.545684545299954,1.5690333888507078
88,2.624374941340603,3.6811901099999345,1.5496443033867437
89,3.791874915244922,2.520199382999955,0.8018340862957368
94,2.0393749544163837,5.153666153999907,1.1767119406629516
95,1.7468749609542686,2.6561202485999527,2.032406903036252
96,1.2499999720602981,2.25402102119996,1.981916602134998
97,1.2174999727867282,2.0812882544999627,2.5403439194140436
101,1.007499977480602,1.8830703254999663,0.8359978875334937
103,1.0581249763490412,1.795288099799968,0.7152184223814799
104,0.9968749777180892,2.3474666162999585,1.0244951072770612
105,1.0212499771732617,2.372951778599958,0.8097699029059102
106,0.9443749788915571,3.2847542519999418,0.8087778917827492
107,0.9193749794503506,1.9878426593999645,0.7929063633220621
108,0.9024999798275369,1.8887336948999662,0.6813185107269325
109,1.2131249728845184,1.8122782079999677,0.6643532914172159
110,1.3918749688891452,2.135090263799962,0.6664766021072996
111,1.4106249684700447,1.7528128292999687,0.5906247627733049
112,1.396874968777385,1.6961791352999698,0.5599756062202808
117,0.8868749801767832,4.134259661999926,1.0196314934041306
118,1.394999968819295,2.1379219484999616,2.5717664536800826
119,1.0424999766982914,1.9312089653999656,2.624010682710723
120,1.403749968623715,1.8151098926999676,2.635839473041279
121,0.8468749810708539,1.7131692434999695,2.279457502326055
122,1.1474999743513596,1.7103375587999696,0.8117537575367767
123,1.8824999579228163,1.6197236483999713,0.9231816630832189
124,1.8212499592918576,8.35346986499985,0.8672783886526829
125,2.923749934649048,3.7661406509999327,1.5820789835825713
126,1.1437499744351796,2.1775655342999616,0.5457041558524971
127,1.971874955925125,1.8859020101999664,0.4302977717512875
128,1.9412499566096455,1.7584761986999686,0.4242013042971577
130,0.9087499796878388,10.590500777999809,0.3694348397916536
134,0.9024999798275369,1.9453673888999652,0.30341396121872183
135,0.83374998136422,1.8037831538999678,0.3423350243227104
136,1.0506249765166813,1.8689119019999667,0.2993692326550534
137,0.8918749800650241,1.5942384860999717,0.27825035568733686
138,0.891249980078994,1.520614683899973,0.5443661654766535
139,0.8812499803025123,1.4639809898999738,2.6129016331473296
140,0.8137499818112555,1.4300007734999745,0.40849016287572987
141,0.8037499820347737,1.393188872399975,0.35056138137356374
142,0.8049999820068335,1.3875255029999753,1.5788770255306148
143,0.7412499834317577,1.396020557099975,1.8704302826022132
146,0.6974999844096476,1.7160009281999695,0.4868417143577167
147,1.855624958523517,1.4951295215999734,1.4576108469988507
148,1.2237499726470382,1.4130106652999748,0.4265480463898095
149,1.344999969936886,1.738654405799969,0.5002095917072004
150,1.5381249656202025,2.021822875799964,0.5363385165486392
151,1.0468749766005014,2.6023182392999535,0.6675380898368857
152,3.1843749288236127,2.154912056699962,0.5990374663071328
153,4.239999905228545,1.6706939729999704,0.5241949443921096
154,5.2587498824576855,1.401683926499975,0.5256095350312493
155,2.24374994984824,1.3280601242999763,0.571506376270442
156,0.893124980037085,1.277089799699977,0.5776648614432142
157,0.9724999782629137,1.2374462138999778,0.52843926105976
158,0.9299999792128634,1.2062976821999785,0.45877220157316445
159,1.4206249682465344,1.1383372493999797,0.4226367816328139
160,0.677499984856683,1.0817035553999808,0.39718822982658586
161,0.5537499876227131,1.067545131899981,0.36615238441705406
162,0.5487499877344723,1.053386708399981,0.34385118992805885
163,0.5331249880837184,1.0335649154999815,0.33461717066085994
164,0.5062499886844221,1.0335649154999815,0.3710760046231573
169,0.4312499903608033,0.8296836170999853,0.3645113452971421
170,0.504374988726331,0.7815449771999861,0.3487833585224074
172,0.4199999906122605,0.787208346599986,1.8704302826022132
173,0.4162499906960806,0.7645548689999864,2.049976019881248
174,0.47874998929909546,0.8183568782999855,1.0220635936676437
175,0.40999999083577865,0.7419013913999868,0.8097699029059102
178,0.3774999915622112,2.5315261217999545,0.8498869860946883
179,0.675624984898593,9.146341580999836,0.8628502397338949
180,4.046249909559198,4.105942814999927,1.055499063846129
181,0.5362499880138694,5.804953634999897,1.0082825442196375
182,0.4918749890057282,4.898814530999913,0.7120401819165179
183,1.4181249683024146,13.592086559999759,0.7109808312839933
184,1.6968749620718595,2.140753633199962,0.6475176388548249
185,0.7462499833199997,1.517782999199973,0.571506376270442
186,0.8118749818531655,1.3139017007999765,0.5354467604199724
187,0.6043749864911553,1.1666540963999792,0.5434743674441228
188,1.3331249702023062,1.0986936635999804,0.49958199753685867
190,0.5506249876925621,1.741486090499969,0.72369324839361
191,0.6181249861838191,1.2204561056999783,1.186051767186618
192,0.6643749851500501,1.0817035553999808,1.013957249283136
194,0.8056249819928636,0.9797629061999825,1.0612343199930312
195,0.7543749831383916,1.0222381766999817,1.0220635936676437
196,0.6481249855132654,1.177980835199979,0.8977794569505166
200,0.6499999854713563,0.8381786711999851,0.5950578563480389
201,0.7137499840464313,1.053386708399981,1.00990405613895
202,0.7224999838508541,0.9882579602999824,0.5688671033035727
203,0.6537499853875374,0.8240202476999854,0.5785445911629279
204,0.5781249870778887,0.7617231842999864,0.4646129716494867
205,0.5474999877624113,0.7164162290999873,0.3491631751452275
206,0.5274999882094465,0.6796043279999879,0.42341912677271365
207,0.503749988740301,0.8664955181999846,0.46096230702238056
208,0.4812499892432154,0.7815449771999861,0.32882643379809107
209,0.46624998957849173,0.846673725299985,0.2953250069377523
210,0.5074999886564819,0.671109273899988,0.27866101355402234
211,0.5106249885866329,0.6512874809999883,0.058433035673149746
212,0.5518749876646232,0.7079211749999873,0.12717355882400203
213,0.5162499884609038,5.465151470999903,0.23331403481754867
214,0.5193749883910548,3.3413879459999407,0.22593074160545507
215,0.502499988768241,1.446990881699974,0.21460923945184757
216,0.48937498906160726,1.0250698613999816,0.21116398756581203
218,0.8087499819230146,0.8410103558999849,0.20181163178682543
219,1.6968749620718595,1.3818621335999755,0.1973818067134795
220,1.903749957447836,1.279921484399977,0.17908305978942962
221,1.0487499765585913,1.2176244209999783,0.1978739256916789
