,Modelflow,Obsflow,Error
2,5.4981248771073385,9.486143745,-9.175746755960104
3,11.131874751183197,8.721588876,-9.204327310258487
5,3.6931249174522254,10.420599696,-9.32797061535499
6,3.643749918555847,8.268519324,-8.637983770655266
7,3.54687492072118,7.277429679,-8.186394551658312
8,3.429999923333538,6.880993820999999,-9.293608105867367
9,4.622499896679068,9.712678521,-9.27799065395053
10,5.40312487923074,17.613078834,-9.372086316158246
11,3.489374922006382,10.363966002,-9.418403686731088
12,3.51624992140568,7.787132925,-5.400562120802295
14,3.3537499250378398,6.880993820999999,-9.256694128609393
15,3.273749926825983,6.767726433000001,-8.68284022016605
16,10.218124771607112,6.569508504000001,-8.460780218734648
17,15.706249648938005,52.10299848,-5.665606123622711
18,3.5531249205814657,27.835460600999998,-3.313049957605571
19,4.54499989841134,22.37030913,-4.386106765856859
21,4.928749889833849,10.222381767,-8.924674096817586
22,9.759999781846993,9.146341581,-9.075251847973533
23,13.861249690176898,13.167333855000003,-9.205397280613807
24,11.978124732267997,37.94457498,-9.32474012793608
25,4.420624901191338,18.264366315,-9.410708130714106
26,4.12687490775715,9.401193204,-8.140385826380268
28,3.866874913568606,6.852676974,-9.492560862894807
29,3.6418749185977566,6.342973727999999,-9.507684482339966
30,3.435624923207808,6.088122105,-9.540236272764766
31,3.2868749265326134,5.833270482,-6.91753316838653
32,5.482499877456581,5.550102012,-9.436819522654103
33,4.54124989849516,8.041984548,-9.604249306906093
34,3.145624929689801,6.739409586,-9.601306888429002
35,3.1193749302765403,6.059805258,-5.0046319366341026
36,3.0631249315338174,5.550102012,-8.304688004978285
39,7.59624983021058,6.427924268999999,-9.637459540626454
40,3.2418749275384524,15.432681615,-9.672912596822371
41,2.952499934006483,7.588914996,-9.632418334144742
42,2.9574999338947157,6.626142197999999,-9.779930208705686
43,10.904374756268199,6.286340034,-9.823325737154434
44,5.198749883798881,28.316846999999996,-9.892482859542412
45,2.9631249337690075,9.089707887,-9.936907205640486
46,2.9131249348865698,6.852676974,-9.965117385585106
47,2.8949999352917066,6.484557963,-9.938656195644342
48,2.833749936660751,6.314656881000001,-10.008492337680858
49,2.9037499350961196,6.286340034,-10.022257917828899
50,2.64874994079583,6.088122105,-10.041743724107214
51,2.5737499424722063,5.776636788,-10.106888457662782
52,2.4543749451404366,5.691686247,-10.13863777032111
53,2.3774999468587232,5.550102012,-9.875075264915747
54,2.328749947948382,5.550102012,-5.959930276743066
