,Modelflow,Obsflow,Error
3,10.354374768561676,23.276448234,100.88421239801696
4,9.894999778829524,26.278034016,100.74068159621955
6,6.44249985599889,32.56437405,101.67494087517572
7,6.118124863249227,21.464170026,101.36960417400692
8,5.918749867705642,17.301593517,101.00638336945836
9,6.34124985826201,18.660802173,100.78259767108071
10,7.215624838718196,30.29902629,100.6006243590674
11,6.791874848189737,40.49309121,103.07476150509483
12,6.287499859463423,35.39605875,108.75556910543806
13,5.976874866406442,22.880012376,104.48575457055203
15,5.724374872050262,15.460998461999997,101.691945788663
16,9.158749795286,13.960205571,102.247716131906
17,17.044999619014586,21.860605884,104.58521776117813
18,11.11749975150452,46.43962908,108.86472717052186
19,7.04999984242022,89.76440499,105.20532681673123
20,7.239374838187342,62.2970634,102.23739912646708
22,8.010624820948566,27.382391049,101.26617489837541
23,11.255624748417182,26.447935098,100.99407036045463
24,17.196249615633885,42.75843897,100.72416920309242
25,12.116249729180685,72.77429679,101.88711346190352
26,7.99624982126989,77.30499231,102.38116322738246
27,7.019374843104734,35.96239569,101.2097424339519
29,6.648124851402823,21.011100474,100.42782747902739
30,6.270624859840618,18.292683162,100.85948269151258
31,5.895624868222489,16.197236484,103.66674505587095
32,7.509999832138417,15.319414227,101.15494306335414
33,8.195624816813528,19.878426594,100.3404699204113
34,6.569999853149044,22.568527059,102.2931316935367
35,5.646874873782528,19.198822266,104.94978651618602
36,5.484374877414674,15.829117473000002,102.12082733385682
37,6.083749864017572,14.469908817,100.40747861151591
40,9.980624776915638,28.60001547,100.01040351273811
41,6.493749854853402,37.66140651,100.11961342207032
42,5.363124880124816,25.088726442,99.90394134857304
43,8.073749819537623,18.575851632,99.78931371527919
44,11.76187473710158,31.71486864,99.7223827905472
45,7.834374824888081,49.27131378,99.86021072501657
46,5.456249878043316,36.52873263,99.83177415474894
47,5.023749887710432,23.049913458,99.94697207477564
48,4.969999888911843,19.142188572,99.8671319321829
49,4.904999890364702,17.075058741,99.33759477864895
50,5.056874886970047,15.772483779,99.31309837126251
51,4.757499893661569,14.554859358,99.20368108493656
52,4.598124897223888,13.620403407,99.77272355577938
53,4.504999899305389,13.110700161,100.85323545957593
54,4.696249895030647,12.884165385,101.73912405474054
55,4.656874895910734,12.770897997,99.90363028308242
56,4.816874892334459,12.346145292,99.8321111423638
57,4.70624989480711,11.921392587,100.45292009527083
58,3.971249911235625,11.638224117,101.0554021063554
59,3.9368749120039706,11.468323035,103.028620123986
60,3.784999915398677,10.873669248,104.84918275209434
62,4.574999897740788,11.411689341,101.81186153529745
63,6.074999864213147,14.866344674999999,101.63784631541915
64,7.30499983672053,18.632485326,102.96749575507897
65,4.756874893675576,20.444763534,101.71009127561591
66,4.6574998958967795,15.432681615,101.33935305504403
67,5.519374876632374,15.00792891,100.44338075355844
68,6.355624857940686,15.545949003000002,100.64712864991523
