,Modelflow,Obsflow,Error
2,39.39749911939714,122.61194750999948,12.854096636433061
3,45.429998984560214,82.68519323999966,12.110206231330556
5,40.066249104449334,141.01789805999942,10.44812423040049
6,36.86687417596095,113.26738799999953,10.96561510415522
7,31.61499929334957,75.88914995999968,12.03855395850098
8,30.22187432448838,61.44755798999975,13.276258036747208
9,32.186249280581166,63.14656880999974,12.614630582700109
10,36.54999918304365,133.37234936999945,10.367178667514354
11,41.88062406389493,170.46741893999928,10.342821524622435
12,39.05249912710843,129.69115925999947,11.316847788639382
14,29.91437433136148,65.69508503999973,14.033014783859429
15,29.821249333442974,56.633693999999764,16.045067997410385
16,33.611874248715964,50.68715612999979,12.925610236823768
17,49.0562489035072,71.07528596999971,12.842795950991242
18,45.166248990455415,167.35256576999933,14.460133723863196
19,53.55374880298018,238.994188679999,17.48081868488599
21,40.36687409772983,171.0337558799993,14.550223839431936
22,40.018749105511034,105.62183930999957,11.371652478472322
23,46.994373949593715,96.8436167399996,11.08343187921521
24,59.704373665502956,160.83969095999936,10.747538155791908
25,58.34499869588736,254.28528605999898,10.360639814691167
26,47.37562394107212,259.38231851999893,10.196236928453551
28,33.83749924367276,97.4099536799996,10.921153812605446
29,32.65562427008977,77.87132924999968,11.519642810573949
30,31.343749299412472,68.24360126999971,10.896825746192647
31,29.88937433192028,61.44755798999975,10.918956301779799
32,29.26812434580628,56.916862469999764,11.598266728435123
33,31.843124288250568,69.37627514999971,12.960392415805607
34,32.009374284534566,80.70301394999966,11.379215718021358
35,34.44687423005216,67.67726432999972,10.55809930270758
36,31.913124286685967,57.48319940999976,12.581206051627854
39,32.00062428473017,51.536661539999784,9.787637468995708
40,34.76937422284376,101.09114378999958,9.355811494353187
41,40.51499909441903,124.59412679999949,9.378021451094854
42,33.86874924297427,86.93272028999965,9.259032670261186
43,30.636874315212374,63.99607421999974,9.12302296588229
44,38.91062413027964,107.03768165999956,8.793952150116636
45,41.67874906840713,171.0337558799993,8.64829129132281
46,37.72312415682235,145.2654251099994,8.599657525019607
47,27.40937438735259,84.38420405999966,8.50393440078481
48,25.374999432824495,66.82775891999972,8.419694249149384
49,25.481249430449598,60.03171563999975,8.358639234632198
50,24.931874442729097,55.21785164999978,8.331489631418831
51,24.333749456098207,50.97032459999979,8.229936673120879
52,22.78437449072941,47.8554714299998,7.90300521522264
53,22.080624506459507,45.59012366999981,7.746544681088715
54,21.832499512005512,44.174281319999814,8.565020728433357
55,21.329374523251214,43.60794437999982,9.00839677524244
56,20.873749533435216,41.90893355999983,9.348305289436265
57,20.541874540853215,41.05942814999984,9.088079747939181
58,20.394374544150118,40.49309120999983,8.741089992754006
59,19.871874555828917,39.64358579999983,8.743951789294888
61,18.291249591158625,36.24556415999985,9.583972389339841
62,17.44374961010173,37.37823803999984,10.444658537754849
63,21.65249951602881,44.174281319999814,10.67202430287024
64,23.807499467860808,60.03171563999975,12.509435236229566
65,25.340624433592797,61.44755798999975,12.21780374230669
66,24.179374459548804,49.83765071999979,11.817174593105536
67,22.531249496387204,47.57230295999981,10.17249262827535
68,22.544999496079907,49.83765071999979,10.17204194284902
69,30.351249321596576,47.28913448999981,9.342982057105433
70,26.460624408558793,50.97032459999979,9.339979351473438
71,30.208749324781675,98.5426275599996,9.437091436749178
72,31.06499930564297,174.4317775199993,9.925903955484607
73,38.60437413712484,215.20803719999913,11.160427514245775
74,37.34062416537184,215.20803719999913,10.002461206676163
75,35.65999920293675,143.2832458199994,8.735624733005942
76,29.179374347789985,107.03768165999956,9.16433281442612
77,29.17749934783198,88.63173110999963,9.540432598512885
78,25.3162494341376,72.4911283199997,8.84480579376789
79,25.302499434444996,65.97825350999973,8.27602736582738
80,25.763749424135195,67.39409585999971,8.339660122050988
81,28.048124373075485,65.12874809999973,7.903934544228296
82,32.972499263007066,63.99607421999974,7.764631369426229
83,28.400624365196485,140.16839264999942,7.5810581368408965
88,22.504999496974005,58.61587328999976,7.238139088732239
89,24.516249452019,58.61587328999976,7.231640495649368
90,26.254999413154895,55.50102011999977,7.005863871950388
91,23.02749948529521,52.38616694999979,7.088193922572986
95,20.09312455088362,53.51884082999978,6.949665747772025
97,20.438749543158217,45.59012366999981,7.344193309662882
98,18.296249591046827,42.47527049999983,8.324471016690195
99,17.54249960789453,39.92675426999984,9.979874374032082
100,16.439999632537333,38.51091191999984,7.204872241642895
101,15.892499644774835,38.22774344999984,7.157360156437974
102,15.522499653045038,37.37823803999984,7.4729707990242344
103,14.906249666819239,36.24556415999985,7.32825939910622
104,14.444999677129042,36.24556415999985,8.076547062512264
105,14.308749680174442,38.22774344999984,8.306405576548963
106,14.268749681068542,38.794080389999834,12.556351253612569
111,13.067499707918547,33.41387945999986,7.472539125141946
112,13.445624699466844,32.56437404999986,7.283728771337014
113,13.041249708505248,31.431700169999868,7.011579636749314
114,12.71312471583945,30.865363229999872,6.917011743396399
115,13.293124702875446,31.714868639999867,6.910386779461977
116,12.806249713757946,34.82972180999986,6.836948539818884
117,14.003124687005743,37.37823803999984,6.829698431583425
118,14.95312466577154,39.36041732999984,6.98220344623118
119,20.356249545002317,41.90893355999983,7.160040784147428
120,28.296249367529384,43.32477590999982,8.327806983505926
121,14.10687468468674,42.75843896999982,6.990506458508548
122,13.828749690903344,35.39605874999985,6.739583712840043
124,15.703124649007737,32.28120557999986,7.302308641493411
128,14.859374667867037,37.37823803999984,7.00436643327581
129,19.162499571684624,49.83765071999979,6.7604058268668865
130,20.258124547195518,207.56248850999918,6.63601776752623
131,38.804999132640546,433.24775909999823,6.505346952043847
132,25.97812441934359,322.81205579999863,6.193437968914531
133,18.428749588085225,124.59412679999949,6.143088131180305
134,16.053124641184635,71.07528596999971,6.084001370634183
135,15.554999652318637,58.04953634999976,6.050367992159033
136,15.700624649063636,50.97032459999979,5.971512860372565
137,14.58937467390204,45.59012366999981,5.961347555523996
140,13.093749707331849,34.26338486999986,5.545480933357363
141,12.647499717306248,32.28120557999986,5.505861155162268
142,12.614999718032749,30.582194759999876,5.489914104273699
143,12.26937472575805,29.166352409999877,6.051069182636225
144,12.23624972649845,28.883183939999878,9.335749842087893
145,12.95812471036325,37.66140650999984,7.755128952385245
146,13.844999690540044,50.40398765999979,12.513079861054395
147,20.374374544597114,40.20992273999984,9.940321415822652
148,12.996874709497149,30.865363229999872,8.295588007990947
149,11.82562473567665,28.231896458999884,7.038932216153447
150,12.02562473120625,29.166352409999877,6.623139123929198
151,14.70374967134554,31.431700169999868,6.364457431640668
152,33.56374924979156,44.45744978999982,6.018227019890921
153,65.75624853023302,46.15646060999981,5.852524079538896
154,28.91624935367128,40.77625967999984,6.055506980261608
155,13.060624708072245,30.582194759999876,8.479304386319631
156,11.919999733567153,25.994865545999893,7.8722244070978835
157,11.443749744212253,23.7012009389999,7.641887249481858
158,11.015624753781555,21.91723957799991,7.449139269408679
163,10.042499775532557,18.264366314999926,6.985818994576891
164,9.899999778717719,17.641395680999928,6.878117479271603
166,9.73499978240575,15.517632155999936,6.594120797769441
167,9.644999784417411,15.177829991999937,6.4331808083621675
168,9.43249978916716,14.86634467499994,6.297438943088993
169,9.404999789781833,14.469908816999942,6.163840070243123
172,8.709999805316295,11.779808351999952,7.716654060555418
173,8.467499810736596,11.298421952999954,7.499928050144974
174,8.278124814969456,11.355055646999954,7.291139918533743
175,8.158124817651665,11.156837717999954,7.164469355582323
176,8.109999818727337,11.411689340999954,7.9798375746396975
177,9.6468747843755,12.516046373999949,7.592059110882577
178,25.283124434877998,14.89466152199994,7.175508352712081
179,17.49062460905403,50.40398765999979,6.7681267503988325
180,38.61999913677554,171.31692434999928,7.560608425411988
181,28.114374371594685,107.03768165999956,7.103708460834675
182,20.199374548508715,71.35845443999972,7.061930033646599
184,13.21937470452385,33.98021639999986,6.519474765916832
185,11.401249745162154,24.6639737369999,6.626192154236588
186,10.564999763853756,20.048327675999918,6.664738618938088
188,9.558749786345249,16.70693972999993,6.153678959117504
189,9.110624796361623,16.310503871999934,5.890264790270991
190,9.65874978411007,27.38239104899989,5.778366197037633
194,21.196874526212813,19.085554877999922,7.270833912011244
195,18.125624594860625,17.13169243499993,7.505318382043003
196,16.889999622479028,17.01842504699993,12.081904752213669
197,15.564999652095034,15.489315308999936,19.79577164634416
198,15.857499645557237,13.875255029999943,12.423110524706603
199,15.207499660085837,12.969115925999947,9.614075491835925
200,14.50499967578794,12.657630608999948,9.647381480339467
201,13.729999693110543,11.978026280999952,7.64984190317287
202,12.974999709986148,11.043570329999953,7.543426462905494
203,12.457499721553148,10.05248068499996,6.8906404951625
204,11.852499735075952,9.769312214999958,7.010355069647998
205,11.306249747285554,9.316242662999962,5.932931727561347
206,10.783749758964353,9.202975274999963,5.565134117007358
207,10.351874768617558,9.231292121999962,6.724681458129011
208,9.958749777404549,27.01427203799989,6.305126316837343
209,45.31687398708873,17.952880997999927,5.870016936706728
210,33.83499924372867,14.441591969999939,6.091242532260683
212,17.28499961365003,12.23287790399995,9.341481263452494
213,15.859374645515237,11.751491504999953,8.441310374721372
214,14.63499967288224,17.07505874099993,5.681933494879749
215,13.871249689953343,14.271690887999942,5.377986154979692
216,18.711249581770925,12.62931376199995,4.80965757372092
218,16.528124630567532,9.259608968999963,4.784046228085508
219,13.935624688514443,10.08079753199996,4.708310667010564
220,11.954999732784852,11.326738799999953,4.647263760357747
221,16.289374635904032,13.761987641999943,4.58954051893334
222,13.516874697874245,9.401193203999961,4.984113093450522
223,13.324999702162945,8.721588875999965,4.776166781826062
225,11.404374745092353,9.34455950999996,6.159642992315054
226,11.061874752747753,9.231292121999962,5.825170661390175
227,11.411249744938655,7.617231842999969,5.633795147047669
228,11.539999742060852,6.9376275149999715,5.442951396775189
229,10.912499756086556,6.824360126999973,8.517063549432706
230,9.929999778047158,6.314656880999975,5.534544542649108
231,9.212499794084541,6.4562411159999735,8.132921882217573
232,8.912499800790062,7.44733076099997,4.823447373524159
233,9.553749786457011,7.27742967899997,4.769270623807557
234,9.89624977880154,6.994261208999972,4.643988742315552
235,11.143124750931653,12.912482231999947,4.522414671074152
236,14.50999967567614,21.66238795499991,4.478491014806533
237,15.890624644816834,53.80200929999978,4.425902288180222
238,36.74187417875495,69.65944361999972,4.3615800839036805
239,69.75062344095171,36.52873262999985,4.314944766376779
240,38.234374145394945,25.2586275239999,4.280505074769166
241,26.602499405387693,21.124367861999914,4.288539409196221
242,26.75749940192319,17.86793045699993,4.259842601795941
244,16.934374621487134,16.621989188999933,4.185057897504462
245,16.164999638684037,15.376047920999936,4.158997543931901
247,12.518124720198049,18.943970642999922,4.139902405015748
255,13.088124707457546,11.383372493999953,6.893315531241355
256,9.328124791500123,18.037831538999924,6.362885624279118
257,8.336249813670257,13.705353947999946,5.839197825912366
258,11.761874737101552,13.308918089999947,5.51597305993861
259,10.376249768072656,18.859020101999924,5.3874427206497595
260,9.157499795313893,18.71743586699992,5.3956663317726115
261,9.75437478197269,14.55485935799994,5.534750594236704
262,10.993749754270453,13.422185477999944,5.5796994759747625
263,25.309374434291293,11.723174657999952,5.820260930142183
264,20.991249530808915,11.213471411999954,5.992997582625462
265,8.654999806545643,10.19406491999996,7.200370979010206
266,7.771249826298999,9.57109428599996,7.592605972355219
270,6.202499861363295,8.580004640999967,5.877149900281127
271,6.144999862648525,8.098618241999967,5.741385388904026
272,6.137499862816165,7.872083465999968,6.196088401818748
273,5.939999867230626,7.617231842999969,6.546775343156389
274,5.7549998713657065,8.098618241999967,6.724348756108334
275,5.5787498753051965,7.47564760799997,6.517565224067065
276,6.649999851360892,7.36238021999997,6.308673647289739
277,6.117499863263194,12.37446213899995,6.265309433663611
278,5.6312498741317265,9.825945908999959,6.42414864745461
279,9.94687477766998,10.024163837999959,6.653651533785173
280,9.037499797996093,9.542777438999961,6.8981578833406205
281,8.526249809423424,8.126935088999966,6.914209218139873
282,7.968749821884527,7.33406337299997,6.7416526161618995
283,21.399999521672612,8.211885629999966,6.590874856206364
284,8.244999815709857,7.588914995999969,6.393909109171898
285,19.42249956587322,7.758816077999968,6.239602471144945
286,6.237499860580984,7.47564760799997,6.298029419280313
287,6.0999998636543555,6.1447557989999755,7.042334164210252
288,5.744999871589217,6.116438951999975,8.014479962856548
289,5.377499879803488,6.229706339999974,7.710490965308524
290,5.249999882653339,5.748319940999977,7.209695582198123
291,5.108124885824489,5.465151470999978,6.926208298243585
292,4.934374889708099,5.521785164999977,6.808430105434732
293,4.80749989254398,5.295250388999978,6.683664051865542
294,4.71374989463946,4.898814530999981,6.611683550319768
295,4.735624894150511,5.0120819189999795,6.504201786097046
296,4.65749989589674,5.09703245999998,6.319723268517636
297,4.584999897517242,4.757230295999981,6.007804220453241
298,4.454999900422973,4.559012366999982,5.955339628026241
299,4.382499902043472,4.502378672999981,5.943790115022737
300,4.310624903650003,4.445744978999981,5.967585019457866
301,4.328749903244883,4.502378672999981,6.012667820748785
302,4.288749904138952,4.64396290799998,5.996001127002045
303,4.2931249040411625,4.983765071999979,6.0258710585021245
304,4.78062489314468,5.0120819189999795,6.082365539102264
305,5.039999887347199,4.898814530999981,6.731967911963369
307,4.82999989204107,5.04039876599998,13.113587437669356
