,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
111,116.2287474,188.0238641,49.4089216,108.7599976,126.0699972,66.8198258,165.637669
112,109.5231226,226.2516075,42.02071398,105.5599976,116.2199974,67.50240857,151.5438365
113,97.77312281,200.4832768,37.43189469,89.549998,121.4599973,60.34122812,135.2050175
114,133.037497,170.1842505,67.53854066,85.40999809,518.6499884,65.49895637,200.5760377
115,110.6612475,171.0337559,43.32170114,84.60999811,257.4499942,67.33954639,153.9829487
116,107.4012476,236.7288409,41.01566792,82.06999817,277.3899938,66.38557968,148.4169155
117,141.5893718,279.7704484,78.6259827,84.14999812,374.7599916,62.96338913,220.2153545
118,198.1856206,300.1585782,138.2857025,88.03999803,1091.069976,59.8999181,336.471323
119,222.429995,291.6635241,141.8774509,84.07999812,749.3399833,80.55254409,364.307446
120,213.4293702,279.2041114,141.866374,86.58999806,596.3399867,71.56299621,355.2957442
121,170.5468712,226.534776,110.091708,89.01999801,744.2699834,60.45516318,280.6385792
122,139.0918719,199.3506029,75.17532796,85.44999809,338.5399924,63.91654393,214.2671998
123,124.2756222,158.2911747,58.3500582,92.58999793,228.2799949,65.92556402,182.6256804
124,150.2618716,109.019861,88.41124147,103.4999977,298.5699933,61.85063017,238.6731131
125,113.5799975,101.9406492,46.54938474,85.82999808,151.7499966,67.03061272,160.1293822
126,148.0268717,133.9386863,85.95761985,115.4999974,241.3599946,62.06925185,233.9844915
127,101.0581227,132.522844,38.67006347,88.24999803,128.0699971,62.38805928,139.7281862
128,89.263123,128.5584854,34.2252031,87.00999806,90.81999797,55.03791991,123.4883261
129,92.24812294,127.142643,35.34999102,83.50999813,184.1399959,56.89813191,127.598114
130,83.02999814,125.7268007,32.33443469,80.5799982,89.259998,50.69556346,115.3644328
131,78.84937324,88.06539417,31.11439615,76.50999829,93.39999791,47.73497708,109.9637694
132,60.79437364,118.6475889,25.28995112,59.56999867,62.24999861,35.50442253,86.08432476
133,58.66562369,115.5327358,24.58034232,56.91999873,67.0599985,34.08528137,83.24596601
134,55.87999875,75.03964455,23.61550495,52.67999882,70.42999843,32.2644938,79.4955037
