,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
138,44.96499899,130.2574962,8.79023917,38.65999914,60.79999864,36.17475982,53.75523817
139,58.60749869,146.6812675,18.0510404,37.83999915,144.2599968,40.55645829,76.65853909
140,127.3187472,169.3347451,67.33036846,36.17999919,457.1199898,59.98837869,194.6491156
141,49.71499889,186.8911902,10.45808271,33.78999924,109.0199976,39.25691618,60.17308159
142,94.0699979,172.1664298,45.28138161,34.81999922,285.7799936,48.78861629,139.3513795
143,88.41499802,158.2911747,40.97822845,33.75999925,302.1599932,47.43676957,129.3932265
144,101.0374977,149.5129522,50.40459067,57.80999871,331.5999926,50.63290708,151.4420884
145,77.84687326,98.82579603,33.11334282,45.21999899,126.8999972,44.73353044,110.9602161
146,79.07124823,91.74658428,34.00916874,49.94999888,149.3099967,45.06207949,113.080417
147,55.89624875,127.142643,15.68014957,40.1099991,80.89999819,40.21609918,71.57639832
148,97.08999783,124.8772953,47.57110447,43.94999902,499.5999888,49.51889336,144.6611023
149,46.70749896,138.7525503,9.439019114,45.25999899,49.52999889,37.26847984,56.14651807
150,52.04624884,127.70898,12.31222905,45.50999898,67.70999849,39.73401978,64.35847789
151,55.08874877,82.68519324,14.97464493,45.96999897,93.37999791,40.11410384,70.0633937
152,69.63687344,142.1505719,26.96815357,44.719999,189.1299958,42.66871988,96.60502701
153,114.1899974,136.4872025,58.91620159,45.43999898,582.449987,55.27379586,173.106199
154,51.40062385,131.956507,11.73643962,42.22999906,74.94999832,39.66418424,63.13706347
155,118.6649973,68.24360127,61.92155838,115.3299974,123.8099972,56.74343897,180.5865557
156,125.3112472,93.72876357,66.45423561,112.9599975,132.919997,58.85701159,191.7654828
157,135.834372,92.59608969,70.03196657,123.4399972,171.2499962,65.8024054,205.8663385
158,127.7756221,91.74658428,67.48943478,118.9499973,182.1199959,60.28618737,195.2650569
159,117.6693724,85.80004641,61.24653071,115.7399974,120.1699973,56.42284166,178.9159031
160,112.4206225,84.38420406,57.7854228,110.0799975,116.0499974,54.63519969,170.2060453
